property_name,link,society,price,areaWithType,address,floorNumAllowed,noOfOpenSides,possession,nearbyLocations,description,features,rating,property_id
Residential land / Plot in Sector 36 Rohini,https://www.99acres.com/residential-land-plot-for-sale-in-sector-36-rohini-north-delhi-38-sq-yard-r24-spid-R39191701,,52 Lac,,"Pocket A3, Sector 36 Rohini, North Delhi, Delhi",4 Floors,1,Immediate,[],"Freehold new allotment dda plot in sector 36 rohini. Well planned locality with nearby parks and other facilities. 
Easy availability of loan.
Prices are negotiableGood location for investment and residential purpose.This property is the very best location in sec-36 rohini near to metro & main road.
The property near to all the basic amenities & features for day to day usage stuff.
The property have multiple property options..For more info kindly contact",[],,R39191701
Residential land / Plot in Shahadra,https://www.99acres.com/residential-land-plot-for-sale-in-shahadra-east-delhi-50-sq-yard-r4-spid-R65275326,,27.5 Lac,,"Shahadra, East Delhi, Delhi",,1,,"['East azad nagar metro station', 'Shahdara metro station', 'Welcome red line metro station', 'Welcome pink line metro station', 'Krishna nagar metro station', 'Seelampur metro station', 'Jaffrabad metro station', 'Jafrabad metro station', 'Mansarovar metro station', 'Dev Mandir', 'Radha Krishna Mandir', 'Shiv Mandir', 'Sri Sai Ram Temple', 'Sri Sankat Mochan Hanuman Mandir', 'Hare- Krishna Mandir', 'Panchal Shiv Hanuman Mandir', 'Sbi ATM', 'Kotak bank ATM', 'Yes bank ATM', 'State bank of india ATM', 'Government Hospital', 'DGD Kanti Nagar', 'Gupta Nursing Home', 'Sona Maternity and Nursing Home', 'Chandiwala Hospital Shahdara', 'shanti nursing home LLP', 'ESI Seelampur', 'DGD Mukesh Nagar', 'DGD Seelampur', 'CGHS Man Sarover Park', 'Delhi City Medical', 'Kamaal Nursing Home', 'Surya Hospital', 'Navjeevan Nursing Home', 'DH SDN HOSPITAL', 'jag pravesh chandra hospital', 'kardampuri', 'HP PETROL PUMP', 'Fun Cinemas CRM Shahdara', 'Agarwal Sweet Place', 'Rupa Ice Cream Parlour', 'Janta Eating House', 'Crazy Bout Pizza', 'Pearl Grand', 'Dilli Darbar', 'Prakash Punj Vidya Sadan', 'Ratan Devi Girls Senior Sec. School', 'S.G.S. Music', 'Delhi shahdara junction railway station']","Market, police station, school hospital etc","['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']","['', 'Environment3.5 out of 5']",R65275326
Residential land / Plot in Sector 24 Rohini,https://www.99acres.com/residential-land-plot-for-sale-in-sector-24-rohini-north-delhi-72-sq-yard-r1-spid-Z71713610,,2.15 Crore,,"Plot No - 14, Pocket - 6, Sector 24 Rohini, North Delhi, Delhi",4 Floors,1,Immediate,"['Shri Balaji Satsang Bhawan', 'Hdfc ATM', 'Brahm Shakti Hospital', 'Devansh Hospital', 'Aam Aadhmi Polyclinic Rohini Sec 4', 'Dental Health Point', 'Al Rida Dental and Medical Centre', 'Asha kiran mental hospital', 'Jain Medicos', 'Rohini sec 20 bank', 'G3S Cinemas', 'Cinepolis', ""Mcdonald's India"", 'Soveregin Public School', 'Mount abu junior branch school', 'Maharaja Agrasen Institute of Technology Rohini', 'Maharaja Agrasen Institute of Technology']","Residential land available for sale in sector 24 rohini, north delhi, delhi
A lucrative opportunity is here for those who are planning to buy a land in the prominent areas of north delhi.
The plot is spread across an area of 645.6 sq. Ft. Available for residential construction. 
It is part of a gated community and is enclosed with a boundary wall on all sides. 
Facilities like water and electricity is available in the area. Other amenities include maintenance staff and water storage.
-Major banks and atms located within a close radius
-Hospital and market within close proximity
-Easy access to public transport 
It is a beautifully maintained plot with quiet and green surroundings in a much desired area.
The land offers plenty of benefits that includes prime location, great amenities, healthy surroundings and high return.Wait no more and schedule a visit today.
For further details, kindly contact the owner.",[],"['', 'Environment4 out of 5']",Z71713610
Residential land / Plot in Punjabi Bagh,https://www.99acres.com/residential-land-plot-for-sale-in-punjabi-bagh-west-delhi-293-sq-yard-r1-spid-G60104640,29 Road punjabi bagh extention,12.5 Crore,,"28 House No., Punjabi Bagh, West Delhi, Delhi",,1,,"['Punjabi bagh west metro station', 'Shivaji park metro station', 'Esi-basaidarapur metro station', 'Esi hospital metro station', 'Moti nagar metro station', 'Punjabi bagh metro station', 'Ramesh nagar metro station', 'Punjabi Bagh Central Market', ""Saint Mark's Church"", 'Gaudham Cancer Ayurvedic Treatment & Research Center', 'Mehra Hospital', 'MGS Hospital', 'Shri Mahant Gurmukh Singhji Charitable Hospital', 'Maharaja Agrasen Hospital', 'Kelvin Diagnostics', 'The Maternity Clinic', 'Gyanchandra Joshi Ayurvedic Hospital', 'Dr Tanejas Thyroid Clinic Dr. Vijay Taneja', 'Asi Hospital', 'DR CHOPRAS SPINE JOINT SOLUTIONS INDIA - joint replacement doctor in west Delhi', 'Government Ayurvedic Hospital', 'Sumitra Hospital', 'Kalra Hospital', 'Khetarpal Hospital', ""Apollo Cradle Maternity & Children's Hospital"", 'Complete Dental Care', 'Indian oil', 'HP COCO Fuel Station', 'BPCL PETROL PUMP shankar filling station', 'State bank of india', 'Hdfc bank', 'Hsbc bank', 'Icici bank', 'Indian overseas bank', 'Hdfc bank', 'Syndicate bank', 'Bank of baroda', 'Uco bank', 'State bank of india', 'Hdfc bank', ""McDonald's"", 'The Great Kebab Factory', 'Subway', ""Domino's"", 'Pizza Hut', 'Guru Nanak Public School', 'S M Arya Public School', 'Government Higher Secondary School', 'Sarvodaya Co-Educational School', 'Shakur basti railway station']","Residential land available for sale in 29 road punjabi bagh extention, punjabi bagh, west delhi, delhi.
A lucrative opportunity is here for those who are planning to buy a land in the prominent areas of delhi.
The plot is spread across an area of 2637sq. Ft. Available for residential construction. 
It is part of a gated community and is enclosed with a boundary wall on all sides. 
Facilities like water and electricity is available in the area. Other amenities include maintenance staff and water storage.
-Major banks and atms located within a close radius
-Hospital and market within close proximity
-Easy access to public transport 
It is a beautifully maintained plot with quiet and green surroundings in a much desired area.
The land offers plenty of benefits that includes prime location, great amenities, healthy surroundings and high return.Wait no more and schedule a visit today.
For further details, kindly contact the owner.","['Feng Shui / Vaastu Compliant', 'Water Storage']","['', 'Environment4.1 out of 5']",G60104640
Residential land / Plot in Rajapuri,https://www.99acres.com/residential-land-plot-for-sale-in-rajapuri-delhi-west-200-sq-yard-spid-R69884710,,2.1 Crore,,"Gali No.11, Rajapuri, West Delhi, Delhi",4 Floors,2,Immediate,"['Uttam nagar west metro station', 'Hanuman Mandir', 'Peer Baba Dham', 'Punjab and sindh bank ATM', 'Punjan national bank ATM', 'Bank of india ATM', 'Aakash Healthcare Super Speciality Hospital', 'Khushi Hospital', 'Dwarika Medicare & Maternity Centre', 'Ayushman Hospital', 'DGD Sec 2 Dwarka', 'Dwarka Heart Centre', 'Sumiti Vishal Charitable Hospital', 'Medeor Hospital', 'Dr. Atul Anand', 'SR Krishna Hospital', 'Chander Leela Hospital', 'Gandhi Hospital', 'B.M. Gupta Hospital Pvt. Ltd.', 'Manipal Hospitals', 'Sunand Hospital & IVF Centre', 'Dr. Prem Sharma', 'Shree Hospital', 'Bm Hospital', 'SR Malik Hospital', 'Jeevan Jyoti Hospital', 'DGD Sec 12 Dwarka', 'Delhi Government Clinic', 'Mahindru Hospital', 'Apaar Nursing Home', 'Swastik clinic', 'Mata Roop Rani Maggo Hospital', 'Lifeline Hospital', '98.3', 'Rai Medico', 'Hdfc bank', 'Icici bank dwarka sec-5', 'Oriental bank of commerce', 'Hdfc bank', 'State bank of india', 'Mini Auditorium', 'Subway', ""Jatin's Cafe"", 'Fire & Ice', 'Modern Bazaar', 'Delhi Public School Dwarka', 'Bhaskaracharya College of Applied Sciences', 'Deen Dayal Upadhyaya College', 'Netaji Subhas University of Technology', 'Central library']","Residential land/plot for sale in rajapuri, west delhi, delhiA lucrative opportunity is here for those who are planning to buy a land in the prominent areas of delhi.
Location: This residential land is located in a quiet, yet convenient neighborhood in the heart of the city. 
Size: The land is 0.04 acres, which is approximately 1800 sq.Ft .
Zoning: The land is zoned for residential use.
Access: The land is easily accessible by car, bus, and bike.
Features:
The land is flat and level, making it ideal for building a single-Family home or a small apartment 
Facilities like water and electricity is available in the area. Other amenities include maintenance staff and water storage.
-Major banks and atms located within a close radius
-Hospital and market within close proximity
-Easy access to public transport 
It is a beautifully maintained plot with quiet and green surroundings in a much desired area.
The land offers plenty of benefits that includes prime location, great amenities, healthy surroundings and high return.
Call to action:
If you are interested in this property, please contact us today for more information. 
We would be happy to show you around and answer any questions you have.",[],"['', 'Environment3.3 out of 5']",R69884710
Residential land / Plot in Baba Colony,https://www.99acres.com/residential-land-plot-for-sale-in-baba-colony-north-delhi-594-sq-yard-spid-N70383276,,6.6 Crore,,"832/2, Baba Colony, North Delhi, Delhi",4 Floors,1,Immediate,"['Burari Hospital', 'Nature Care Hospital', 'Kaya Kalp Hospital', 'Delhi Govt Dispensary Jharoda Majra', 'DGD Mukundpur', 'SPUHC Jagatpur', 'Indian Oil']","Residential land/plot for sale in baba colony, north delhi, delhi.A lucrative opportunity is here for those who are planning to buy a land in the prominent areas of delhi.
Location: This residential land is located in a quiet, yet convenient neighborhood in the heart of the city. 
Size: The land is 4.97acres, which is approximately 5348.16sq.Ft .
Zoning: The land is zoned for residential use.
Access: The land is easily accessible by car, bus, and bike.
Features:
The land is flat and level, making it ideal for building a single-Family home or a small apartment 
Facilities like water and electricity is available in the area. Other amenities include maintenance staff and water storage.
-Major banks and atms located within a close radius
-Hospital and market within close proximity
-Easy access to public transport 
It is a beautifully maintained plot with quiet and green surroundings in a much desired area.
The land offers plenty of benefits that includes prime location, great amenities, healthy surroundings and high return.
Call to action:
If you are interested in this property, please contact us today for more information. 
We would be happy to show you around and answer any questions you have.",[],"['', 'Environment3.4 out of 5']",N70383276
Residential land / Plot in Krishan Kunj,https://www.99acres.com/residential-land-plot-for-sale-in-krishan-kunj-delhi-east-70-sq-yard-spid-T70583004,,1.25 Crore,,"Krishan Kunj, East Delhi, Delhi",0 Floors,1,Immediate,"['Laxmi nagar metro station', 'Nirman vihar metro station', 'DDA Market', 'Neminath Jain Mandir', 'Gauri Shanker Mandir AGCR', 'Gurudwara Shri Guru Singh Sabha', 'Hdfc ATM', 'Walia Nursing and Maternity Home', 'Aarogya Hospital', 'Somdatt Medical', 'Navjeevan Nursing Home', 'Dr. Vippin Jain Clinic', 'Chacha Nehru Bal Chikitsalaya', 'Delhi City Medical', 'Sharp Sight Center', 'DGD Mandawali Fazalpur', 'DGD Jagatpuri', 'DGD', 'Surya Hospital', 'JMD Medical Store', 'Vishal Medical Store', 'Mediways Chemist', 'Life Care Medicos', 'V3S mall', 'Hira Sweets', 'Priyanshi South Indian Restaurant', 'Priyanshi South Indian Fast Food Point', ""Domino's"", 'Burger King', 'Chicago Pizza', 'South Indian Restaurant', 'Tasty Muradabadi Chicken Biryani', ""Qd's"", ""Domino's Pizza"", ""McDonald's"", 'Rupa Ice Cream Parlour', ""Domino's"", 'Pizza Hut', 'MCD School', 'School of Dance and Music', 'Ambedkar Institute of Technology', 'S.G.S. Music', 'Ratan Devi Girls Senior Sec. School', 'Mandawli chandra vihar railway station']","Plot for sale in krishan kunj is available in east delhi. This locality resonates with your modern lifestyle. The plot is around super built up area of 70 sq.Yards in size. The property is enclosed by boundary wall. Possession of land can be secured immediately. The type of ownership is power of attorney. The price of this massive plot is just 1.3 crore. Further negotiations can be done. The plot is close to metro station, close to market and close to school.",[],"['', 'Environment3.5 out of 5']",T70583004
Residential land / Plot in Chattarpur,https://www.99acres.com/residential-land-plot-for-sale-in-chattarpur-south-delhi-400-sq-yard-r2-spid-H66840150,,3.4 Crore,,"Chattarpur, South Delhi, Delhi",4 Floors,3,Immediate,"['Chhatarpur metro station', 'Qutub minar metro station', 'Sultanpur metro station', 'Chhattarpur Mandir Complex', 'Temple', 'Masjid Dibya Wali', 'Prachin Shri Hanuman Shani Mandir', 'Navgrah temple', 'Shri Shiv Shakti Mandir', 'Ram mandir', 'Sanatan Dharm Radheshyam Mandir', 'The Pentecostal Mission Church', 'Hdfc bank ATM', 'Axis bank ATM', 'Sbi ATM', 'Apex Hospital', 'K.R. Hospital', 'DGD', 'Yogmaya Multispeciality Hospital', 'Manchanda Hospital', 'Raja Ram Market', 'Vikas Hospital', 'Gendox Hospital', 'Anmol Multispeciality Polyclinic and Diagnostic Center', 'Aman Medical Centre', 'Physio Quantum', 'JSMK Clinic', 'Aggarwal Sons Medical Mart', 'Aggarwal Medical Store', 'Anand Chemist', 'Neethi Medical Store', 'Shri Banke Bihari Medical Store', 'Akshay Medicos', 'Maa Nav Durga Medicos', 'Oddbird Theatre', 'WHSmith', 'Burger King', 'Chai Thela', 'The Dhan Mill', 'Quick Brown Fox Coffee Roasters', 'Greenr Cafe', 'subway lavazza', 'Ajit Khalsa Dhaba', 'Barista', 'Shri Sai Food Corner', 'Hotspot Pizzeria', 'Cafe Twist', 'Heritage International School', 'Deep Public School', 'Indira Gandhi National Open University']","Residential land available for sale in chattarpur, south delhi, delhi .
A lucrative opportunity is here for those who are planning to construct a to buy a land in the prominent areas of chattarpur, south delhi, delhi .
The plot is spread across an area of 3600 sq. Ft. Available for residential construction. 
It is part of a gated community and is enclosed with a boundary wall on all sides. 
Facilities like water and electricity is available in the area. Other amenities include maintenance staff and water storage.
-Major banks and atms located within a close radius
-Hospital and market within close proximity
-Easy access to public transport 
It is a beautifully maintained plot with quiet and green surroundings in a much desired area.
The land offers plenty of benefits that includes prime location, great amenities, healthy surroundings and high return.Wait no more and schedule a visit today.
For further details, kindly contact the owner.",[],"['', 'Environment3.9 out of 5']",H66840150
Residential land / Plot in Dera Mandi,https://www.99acres.com/residential-land-plot-for-sale-in-dera-mandi-south-delhi-1200-sq-yard-spid-C70679316,,3.6 Crore,,"Dera Mandi, South Delhi, Delhi",1 Floors,1,Immediate,"['SHIV MANDIR BALIYAWAS', 'Janki Max Hospital', 'Parivar Clinic', 'Florence Farm', 'Green Dot Theory', 'CHINESE CORNER', 'Government Sarvodaya Vidyalaya']","Plot is in gated area with boundary wall. It is well placed and connected between chatarpur main road and delhi faridabad road...Both less than 1 km. Fully developed and inhabited.
Genuine buyers welcome. Price negotiable.",[],"['', 'Environment3.8 out of 5']",C70679316
Residential land / Plot in Kunwar Singh Nagar,https://www.99acres.com/residential-land-plot-for-sale-in-kunwar-singh-nagar-west-delhi-200-sq-yard-spid-E70539628,,1.5 Crore,,"H 152, Kunwar Singh Nagar, West Delhi, Delhi",,2,Immediate,"['Nangloi railway metro station', 'Sai Mandir', 'RadheShyam Mandir', 'Icici ATM', 'Sanjivani Hospital', 'Mansaram Hospital', 'Santosh Hospital', 'Durga Diagnostic Centre', 'Rao Raghubir Hospital', 'Governmentt Eye Hospital', 'Satyabhama Hospital', 'Sonia Hospital', 'Konarc Hospital', 'SPUHC', 'DGD', 'Kiran Das Charitable Hospital', 'Nanak Darbar Charitable Hospital', 'MCD', 'SPUHC Chander Vihar', 'Mother Child Clinic', 'MCD Dispensary', 'Ansari Clinic', 'Goyal Hospital', 'Rathi Hospital', 'Dr. Lall Dental Hospital', 'Care n Cure 24', 'Aditya Urology Centre & Maternity Home', 'DGD Jwala Puri', 'SRG Hospital', 'Government Hospital Jawalapuri', 'Chhath Ghat', 'Amanjot Herbal India', 'Good Food Kitchen', 'Nangloi railway station']","Residential plot in h block kunwar singh nagar nangloi
1- 200 gaj plot, 
 Size- 30*60, 
 Two side open plot, 
 One side 30 foot road 
 Other side 15 foot road
2- Dda pm uday freehold pakki registry land /
You can also purchage this property through gpa
3- Price- 80,000/gaj
4- 50gaj, 60gaj, 80gaj, 100gaj 120gaj part also available
5- Bank loan facility also available
6- Mcd naksha (Building plan) will be approved
7- Circle rate 46,200/sq
8- Stamp duty and transfer duty @ 4% if the vendee is a woman and @ 6% if the vendee is a man.
9-Registration fee is 1% of the total value of sale deed + rs. 100/- Pasting charge.",[],,E70539628
