PROP_ID,FLOOR_NUM
H70597758,1
H70436188,1
L70217014,1
X70217012,1
A70217010,1
K70069208,1
M68240964,1
T68240962,1
W69736860,1
W69369638,6
L70371640,2
Q70823502,1
N69556152,3
O70197130,4
P70626446,1
Z70626444,1
N70626442,1
B70613766,1
Q70608776,1
D70151974,2
A68982530,
I70964926,
L70962552,1
G70797310,1
V70700874,1
N70592076,1
D70730502,
N70874140,1
C70119696,4
P70438640,1
R68371080,1
B68371078,1
Z68371072,1
T69624186,2
O70991572,
Y70991152,
J70931020,
B70060106,1
Y70060104,1
O70060102,1
W70060100,1
H70060098,1
M70060096,1
L70054760,1
Z70054758,1
W70054756,1
E70054754,1
L70054752,1
D70054750,1
O70255440,2
M70297766,1
Q70297764,1
N70747640,1
T70698362,1
L70570166,1
U70744582,1
E70048784,
L70725860,1
E70725846,1
H70725830,1
W70799324,1
E70121362,4
J70074994,1
B70335286,4
N69640290,1
Z70813194,1
X70606192,1
G70679388,1
K70119622,G
O67182126,2
Z70604540,1
I70604536,1
Q70233758,2
D70934022,1
C70934018,1
N70670014,
C70670010,
Z70670008,1
K70670006,1
C70247702,1
O70391936,
O67146636,
U66972744,1
N54750312,
G68268528,1
H70259806,12
S70362812,
U66966014,17
E68426364,2
T70672008,1
H70597758,1
H70436188,1
L70217014,1
X70217012,1
A70217010,1
K70069208,1
M68240964,1
T68240962,1
W69736860,1
W69369638,6
L70371640,2
Q70823502,1
N69556152,3
O70197130,4
P70626446,1
Z70626444,1
N70626442,1
B70613766,1
Q70608776,1
D70151974,2
L70962552,1
G70797310,1
V70700874,1
N70592076,1
N70874140,1
C70119696,4
P70438640,1
L70604150,1
E70194938,15
T70119576,1
E70187404,1
Q70119796,1
Z70138874,2
W70121480,4
M70187434,4
K69780144,4
U67727654,
G70151504,4
C70285462,2
Y70698198,1
A70400506,1
U70197230,2
Y70825584,1
A70825582,1
C70661602,1
R69532148,2
X70430650,1
C70497966,
L70683336,1
M70048478,3
A70996908,1
V70996906,1
J70205046,G
O70152112,1
T70193796,2
J66928356,6
P70351066,28
M70119746,4
D70872158,1
A70872154,1
B70138818,3
N70841936,1
I70841932,1
B70853644,
R70853124,
N70435748,1
L70435746,1
Y68277354,
V71008006,G
U69442134,
S68710306,4
W70335530,2
Q70137688,4
V70296402,7
P70853452,
R70853404,
W70853084,
C70852932,
B70852326,
W70669854,1
M70669852,1
U70856202,1
T69118260,3
P66792212,2
J68589284,2
O70119736,4
P70799326,1
B70672002,1
Z70671892,1
E70671888,1
L70671622,1
Z70671616,1
I70671496,1
C70671494,1
F70669818,1
Q70669816,1
Q70669812,1
S70669808,1
P70669700,1
O70669698,1
B70669592,1
E70669588,1
F70669302,1
L70669300,1
K70669134,1
Z70669130,1
Z70668950,1
E70668946,1
F70668840,1
D70668836,1
X70668492,1
B70668486,1
Y70667972,1
P70667970,1
X70832788,1
L70681942,1
S70681940,1
A70681652,1
M70681646,1
Y70108108,1
U70070252,1
X70069538,1
K70069504,1
I70067514,1
D70927674,1
X70927670,1
Y70834646,1
S70899548,1
U70899546,1
X70898710,1
A70898708,1
B64979146,
D69367944,
P70188242,
A70725920,1
Y70725918,1
P70247566,1
F69982834,1
Y69982260,1
N67521650,3
N70583910,1
T70006324,1
O70006322,1
U70006314,1
P70006312,1
P70006310,1
M70006308,1
W70006300,1
S70006298,1
U70954146,1
M70954142,1
V70954130,1
V70954128,1
I70953998,1
Z70953996,1
X70954218,1
C70954212,1
H70152210,4
L70497382,1
U70497380,1
P70457682,1
E70457678,1
N70248948,
A70619418,1
R70619414,
S67661770,3
T70609488,1
W69545496,2
A67904272,16
V70594088,2
Y61668104,4
X69899472,
V70347324,
B70648290,2
O70256966,9
P70273706,G
X70004764,2
X69066898,1
J69154818,
J70831824,
Z70830250,
T70827806,1
S71005454,2
Q69378622,
J69574074,2
S69550244,4
L69538952,4
J70799358,1
L70351088,28
O70398974,
R67662264,
O69762684,2
S69147660,2
S68036134,14
G70253288,2
Q70213864,3
R70208608,2
D70829372,4
O69881680,
Q63991082,3
Z68331158,
G70968418,1
O71004008,1
M70954334,1
X70954332,1
B70834208,
P70832230,
D70007318,1
C70012530,18
T68843520,
M69976750,8
K69965806,26
B69965090,24
Z69964576,23
G69962994,23
H69962594,19
B69944490,6
W69943732,5
M69922706,6
L69922072,
P69913556,
H69681234,
B67592164,
J68790644,
C67249084,10
Y68472024,
X67940644,7
V70824576,6
G70824680,5
T70554482,2
K70554022,12
A70553302,12
W70552120,8
Y70551980,20
I70551284,14
M70537336,8
X70537276,12
B70536756,12
R70536532,14
T70527010,22
Y70364124,1
Q70241948,1
Q70241870,4
Y71017232,10
X70991196,1
B70962732,
K70825920,13
B70825890,12
I70947358,11
W70897760,
Z70897706,
N70743820,8
T70738346,
Y70686226,6
X70685844,10
N70660786,4
V70658450,
F70650744,
J70625066,16
T70458890,
K70403898,1
P70234488,
A70153148,
C70141134,
A70105992,1
Y70027718,
C70015530,
U70015138,
S69999766,
S66664344,
M70195388,9
F69647064,5
Z67567848,2
U67076082,
I70866180,24
L70866082,1
M70836834,
A70605114,
R66023086,7
H70882734,3
D70872272,
S70871306,
E70860132,1
Z70859680,G
Q66315226,5
D59832722,3
C66742098,7
M63274204,21
N55371172,8
F69469468,2
R50086044,9
H70734208,2
Z70469278,11
K69993670,2
F69955610,2
A59891438,11
R71004834,
M70657696,G
P70312378,3
R70994050,
N70919076,21
K70911704,3
L69575766,
E70723526,6
K70586240,18
R70450208,2
O70068706,12
N70323104,5
U70315114,14
B70304160,1
Y70301376,7
X70300842,7
V70300312,1
B70299964,1
N70213034,1
M70212416,8
D70201314,8
J70361490,
W70360872,
X70422972,2
O70853976,
B70112398,30
D70218136,
H70208976,
D70208716,
M70111242,
M70109238,
O69439286,5
Y69840104,30
X69714856,
J69327618,13
F69315812,8
O69438226,7
A50038456,10
N50053704,12
L50048206,20
V50058800,7
G69957890,3
L50076370,2
D56056282,16
V53749176,5
F50040466,10
R58603070,14
B50048312,G
H50087306,
G50058512,14
S55587602,8
Z50040496,5
V71006880,2
B44845101,17
X40075997,2
B46490839,8
K39291191,8
L54742596,2
N71008058,8
P70884476,12
X70860236,10
X70628928,8
U70801054,
A70799710,2
O70794490,3
Y70725984,6
T70647810,2
G70316896,4
X69920430,1
S68771862,6
Q70931090,
M70930918,
Y70806748,
D70806368,
J70803166,
K70802696,
G70801918,
Y70743412,4
R70743334,2
L69222632,3
X69218612,4
O70116778,5
R69966044,3
S69924314,15
M70526454,
J70125856,1
J70124736,2
J70124526,2
X66867968,1
X50051834,6
U46011145,12
O71022570,35
Z71020064,19
O70980650,1
M70980370,
L70968404,1
N70972742,2
Y70972338,1
F70970868,19
B70969040,15
K70968202,6
L68203126,4
T70967152,1
Q70534254,G
G70953616,8
T70952356,12
G70939488,4
R70758930,1
M70931608,1
D70758360,2
E70913394,22
U70913216,4
X70898038,G
R70889114,4
D67210866,6
D70845674,6
N70845666,7
B70872224,
V70717784,9
M70859588,2
C70860620,4
O70856290,6
Y70848590,4
Y70844120,4
T70844166,4
Z70747072,3
L70792838,5
M70835970,11
Y70745096,3
E70760182,1
S70834060,12
V70833892,18
N70760134,1
T70762780,2
R70830834,11
L69051948,5
S69664902,5
Z69667050,6
M69660142,6
K69661456,9
N69472380,6
M69472524,11
M69662028,11
P69664676,9
A70830006,2
F70829800,32
V70761748,4
T70811776,1
I70762616,1
W70760356,1
D70802546,
M70801922,
E70785792,1
M70800218,
J70747732,3
T70747842,G
P70747488,0
C70776764,2
Y70792184,5
C70784392,
H70783000,15
U70773426,26
T69535004,6
E69536040,8
F69536686,9
A70767072,2
E70762450,2
B70761864,20
F70760464,3
G70760422,4
L70760110,4
E70758076,4
O70756164,
O70754254,1
D70749072,2
O70749006,4
R70748778,4
G70748212,3
F70748132,1
W66363384,2
N70745622,3
Y70734664,2
A70734310,1
E70729270,4
R70729120,
U69410668,
C70705094,2
R70702282,
H70289694,2
V67046754,
E70664412,1
M70660850,19
W70652970,1
X70646818,4
Z70626696,3
W70626416,G
X70620132,3
V70586112,
I70573690,6
F70541296,
T70541162,
D70537642,2
W70534640,
O70532432,8
N70517866,14
A69237380,10
M70514932,1
E70514616,1
W70496820,
Z70478370,5
A70431404,1
F70413080,1
T69822902,1
C70416368,4
O70414150,7
Z70399672,2
R70407646,8
S70391540,
G70391234,
U70391182,
G70391112,
J70390604,22
U70286078,10
M70258088,6
Y70334360,6
Q70241996,3
Y70281378,14
H70280888,
N69952182,5
L70267602,
F67800306,2
E67800538,3
C67800426,3
V67778908,2
I66590560,
X69097300,
J70236130,5
R70216694,11
D70209278,4
W66365150,2
C69950908,14
S69946912,16
Z70132890,22
K70129910,4
N70109026,9
V70108150,6
C70107814,7
H70106298,7
S70105972,9
A70086188,17
E70076814,7
Z70072346,3
W68871958,
I70023036,4
N70022864,6
F69986330,1
J69962672,G
N69956194,6
P69948042,5
P69939860,8
I69939108,2
Q69938830,1
